id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e390b60a5cd0,meta1,meta10,90,281,406,371,316
5e390b60a5cd0,0,06,35,517,619,552,584
5e390b60a5cd0,6,62,67,145,298,212,231
5e390b60a5cd0,2,20,86,200,371,286,285
5e390b60a5cd0,0,06,85,261,419,346,334
5e390b60a5cd0,6,63,73,145,305,218,232
5e390b60a5cd0,3,36,87,231,405,318,318
5e390b60a5cd0,6,60,87,95,252,182,165
5e390b60a5cd0,0,06,70,41,187,111,117
5e390b60a5cd0,6,60,76,54,211,130,135
5e390b60a5cd0,0,0meta1,81,-512097,-511929,-512016,-512010
5e390b84833af,meta1,meta10,87,562,737,649,650
5e390b84833af,0,08,88,441,622,529,534
5e390b84833af,8,84,93,724,912,817,819
5e390b84833af,4,43,95,285,471,380,376
5e390b84833af,3,39,91,448,596,539,505
5e390b84833af,9,92,57,407,537,464,480
5e390b84833af,2,21,73,312,475,385,402
5e390b84833af,1,16,90,498,660,588,570
5e390b84833af,6,68,72,376,521,448,449
5e390b84833af,8,84,73,427,574,500,501
5e390b84833af,4,4meta1,74,56747,56925,56821,56851
5e390b84833af,meta1,meta10,104,346,540,450,436
5e390b84833af,0,08,90,460,625,550,535
5e390b84833af,8,84,75,543,688,618,613
5e390b84833af,4,43,70,300,467,370,397
5e390b84833af,3,39,97,396,581,493,484
5e390b84833af,9,92,88,312,490,400,402
5e390b84833af,2,21,90,348,523,438,433
5e390b84833af,1,16,85,427,584,512,499
5e390b84833af,6,68,72,428,574,500,502
5e390b84833af,8,84,74,462,607,536,533
5e390b84833af,4,4meta1,71,41242,41375,41313,41304
5e390b84833af,meta1,meta10,62,342,492,404,430
5e390b84833af,0,08,88,465,608,553,520
5e390b84833af,8,84,55,579,718,634,663
5e390b84833af,4,43,84,285,451,369,367
5e390b84833af,3,39,82,391,500,473,418
5e390b84833af,9,92,27,348,461,375,434
5e390b84833af,2,21,86,465,604,551,518
5e390b84833af,1,16,53,410,521,463,468
5e390b84833af,6,68,58,509,623,567,565
5e390b84833af,8,84,56,317,470,373,414
5e390b84833af,4,4meta1,97,35490,35665,35587,35568
5e390b84833af,meta1,meta10,78,582,765,660,687
5e390b84833af,0,08,105,290,470,395,365
5e390b84833af,8,84,75,225,392,300,317
5e390b84833af,4,43,92,195,376,287,284
5e390b84833af,3,39,89,492,641,581,552
5e390b84833af,9,92,60,277,426,337,366
5e390b84833af,2,21,89,243,421,332,332
5e390b84833af,1,16,89,312,472,401,383
5e390b84833af,6,68,71,309,455,380,384
5e390b84833af,8,84,75,271,442,346,367
5e390b84833af,4,4meta1,96,36097,36281,36193,36185
5e390b84833af,meta1,meta10,88,329,541,417,453
5e390b84833af,0,08,124,308,521,432,397
5e390b84833af,8,84,89,243,420,332,331
5e390b84833af,4,43,88,248,457,336,369
5e390b84833af,3,39,121,311,504,432,383
5e390b84833af,9,92,72,328,489,400,417
5e390b84833af,2,21,89,246,440,335,351
5e390b84833af,1,18,105,721,902,826,797
5e390b84833af,8,84,76,290,445,366,369
5e390b84833af,4,4meta1,79,40384,40533,40463,40454
5e390b84833af,meta1,meta10,70,328,500,398,430
5e390b84833af,0,08,102,315,487,417,385
5e390b84833af,8,84,70,245,385,315,315
5e390b84833af,4,43,70,298,423,368,353
5e390b84833af,3,39,55,345,485,400,430
5e390b84833af,9,92,85,310,520,395,435
5e390b84833af,2,21,125,344,576,469,451
5e390b84833af,1,16,107,310,491,417,384
5e390b84833af,6,68,74,344,489,418,415
5e390b84833af,8,84,71,253,421,324,350
5e390b84833af,4,4meta1,97,38313,38500,38410,38403
5e390b84833af,meta1,meta10,90,296,473,386,383
5e390b84833af,0,08,87,358,505,445,418
5e390b84833af,8,84,60,477,628,537,568
5e390b84833af,4,43,91,230,418,321,327
5e390b84833af,3,39,97,221,418,318,321
5e390b84833af,9,92,100,305,501,405,401
5e390b84833af,2,21,96,310,496,406,400
5e390b84833af,1,16,90,278,424,368,334
5e390b84833af,6,68,56,375,502,431,446
5e390b84833af,8,84,71,210,374,281,303
5e390b84833af,4,4meta1,93,45542,45712,45635,45619
5e390b84833af,meta1,meta10,77,311,493,388,416
5e390b84833af,0,08,105,363,537,468,432
5e390b84833af,8,84,69,730,888,799,819
5e390b84833af,4,43,89,311,503,400,414
5e390b84833af,3,39,103,565,737,668,634
5e390b84833af,9,92,69,381,521,450,452
5e390b84833af,2,21,71,360,538,431,467
5e390b84833af,1,16,107,443,624,550,517
5e390b84833af,6,68,74,458,624,532,550
5e390b84833af,8,84,92,434,609,526,517
5e390b84833af,4,4meta1,83,34661,34817,34744,34734
5e390b84833af,meta1,meta10,73,302,488,375,415
5e390b84833af,0,08,113,248,447,361,334
5e390b84833af,8,84,86,265,419,351,333
5e390b84833af,4,43,68,232,386,300,318
5e390b84833af,3,39,86,345,505,431,419
5e390b84833af,9,92,74,330,501,404,427
5e390b84833af,2,21,97,272,486,369,389
5e390b84833af,1,16,117,383,582,500,465
5e390b84833af,6,68,82,362,515,444,433
5e390b84833af,8,84,71,429,538,500,467
5e390b84833af,4,4meta1,38,35298,35379,35336,35341
5e390b84833af,meta1,meta10,43,305,454,348,411
5e390b84833af,0,08,106,330,545,436,439
5e390b84833af,8,84,109,224,420,333,311
5e390b84833af,4,43,87,194,369,281,282
5e390b84833af,3,39,88,175,338,263,250
5e390b84833af,9,92,75,394,541,469,466
5e390b84833af,2,21,72,246,409,318,337
5e390b84833af,1,16,91,359,507,450,416
5e390b84833af,6,68,57,374,506,431,449
5e390b84833af,8,84,75,412,546,487,471
5e390b84833af,4,4meta1,59,-390629,-390514,-390570,-390573
5e390b90d6e7f,meta1,meta10,56,2381,2536,2437,2480
5e390b90d6e7f,0,09,99,232,384,331,285
5e390b90d6e7f,9,90,53,145,252,198,199
5e390b90d6e7f,0,03,54,599,755,653,701
5e390b90d6e7f,3,36,102,228,359,330,257
5e390b90d6e7f,6,68,29,321,405,350,376
5e390b90d6e7f,8,82,55,728,855,783,800
5e390b90d6e7f,2,29,72,362,490,434,418
5e390b90d6e7f,9,93,56,477,622,533,566
